# 2014 04 06 02 32 37 12.310000 -86.490000 99.000000 2.300000 0.000000 0.000000 0.000000 000 
TBHS 14.76 1 P
TBHY 14.54 1 P
TBMR 14.63 1 P
TBTN 14.61 1 P
ACON 23.08 1 P
CNGN 13.7 1 P
CRIN 16.13 1 P
CSGN 22.01 1 P
HERN 14.6 1 P
MASN 15.36 1 P
MATN 17.7 1 P
MGAN 13.74 1 P
# 2014 04 10 18 43 54 12.370000 -86.440000 4.000000 4.000000 0.000000 0.000000 0.000000 001 
TBHS 9.11 1 P
TBHY 8.54 1 P
TBMR 8.83 1 P
TBTN 8.71 1 P
ACON 21.88 1 P
CNGN 5.81 1 P
CRIN 12.24 1 P
CSGN 21.15 1 P
ESPN 32.77 1 P
HERN 8.68 1 P
MASN 10.44 1 P
MATN 13.68 1 P
MGAN 5.95 1 P
# 2014 04 10 18 46 02 12.360000 -86.510000 6.000000 1.900000 0.000000 0.000000 0.000000 002 
TBHY 7.56 1 P
TBMR 7.81 1 P
ACON 22.51 1 P
CNGN 4.8 1 P
CRIN 11.22 1 P
CSGN 20.18 1 P
ESPN 33.47 1 P
HERN 7.71 1 P
MASN 11.08 1 P
MATN 14.38 1 P
MGAN 6.57 1 P
# 2014 04 10 20 34 41 12.320000 -86.480000 2.000000 2.000000 0.000000 0.000000 0.000000 003 
TBHS 9.26 1 P
TBHY 8.7 1 P
TBMR 8.94 1 P
TBTN 8.86 1 P
ACON 22.47 1 P
CNGN 5.93 1 P
CRIN 12.35 1 P
CSGN 21.3 1 P
ESPN 33.53 1 P
HERN 8.85 1 P
MASN 10.64 1 P
MATN 14.92 1 P
MGAN 6.04 1 P
# 2014 04 10 23 27 41 12.270000 -86.510000 1.000000 6.200000 0.000000 0.000000 0.000000 004 
TBHS 9.64 1 P
TBHY 9.09 1 P
TBMR 9.28 1 P
TBTN 9.26 1 P
ACON 22.89 1 P
CNGN 6.37 0 P
CRIN 12.65 1 P
CSGN 21.54 1 P
HERN 9.25 1 P
MASN 10.79 1 P
MATN 16 1 P
MGAN 6.2 1 P
# 2014 04 10 23 35 02 12.420000 -86.520000 4.000000 4.400000 0.000000 0.000000 0.000000 005 
TBHS 7.52 1 P
TBHY 6.95 1 P
TBMR 7.24 1 P
TBTN 7.12 1 P
ACON 23.11 1 P
CNGN 4.21 1 P
CRIN 10.7 1 P
CSGN 19.84 1 P
HERN 7.09 1 P
MASN 11.96 1 P
MATN 14 1 P
MGAN 7.5 1 P
# 2014 04 10 23 37 25 12.380000 -86.550000 2.000000 3.800000 0.000000 0.000000 0.000000 006 
